---
font: Recull de refranys gaudits de la tradició oral catalana
---

REFRANYS CATALANS

Llista de refranys tradicionals catalans més coneguts:

REFRANYS CLÀSSICS

A bon port va qui troba bon amo
A bona paga, bona criada
A cabra tossuda, rapa tall
A caça vella, galga nova
A cada cocarda, merda
A cada corrulla, un porro
A cada dia, que Déu ens dia
A cada gos, la seva pellofa
A cada illa, la seva moda
A cada ovella, la seva patella

A cada poma, la seva follia
A cada qui, la seva venturu
A cada sant, la seva llum
A cara vella, boca buida
A caritat, caritat i mig

A casa de ferrers, nens sense sabates
A casa del forner, pa sec
A casa del lladre, les portes obertes
A casa el gat, menja peix
A casolana, tela doblada

A cata bella, paraula cruel
A catifa, cadira
A cavall donat, no li miris la dentadura
A cavall regalat no li miris els dents
A cavallera, qui la té es cavaller

A cavells blancs, paraules netes
A cavells rossos, caveller famós
A caverní, beure i dormir
A ce, d'acció
A cerca de menestral, feina mal feta

A certa feina, cert mester
A xica minyona, mai de gran senyora
A xicot minyó, mai de gran señor
A coll d'home ric, forca de pobre
A comérc de maldits, guanys maleits

A con de vell, pas de nena
A condició de pagès, sempre és dolorosa
A condició de pobre, sempre és amarga
A consell de vella, anem ab cella
A coratge jove, experiència vella

A cor de lleó, estrella de fum
A cor de nena, no hi ha recança
A cor del poble, és la caritat
A cor del pobre, no hi ha mestre
A cor tendre, paraula dur

A coratge vell, paraula nova
A coratge, s'encomana
A corcova, qui la porta és senyor
A corça jove, fuig com la pólvora
A cordella de home, no hi ha resistència

A cordera mansa, llop voraç
A cordó soltat, no caigui el calaix
A corema, jeús creia
A corema, no et cassis
A corema, panxes de fusta

A corneta, qui la toca és trompeta
A cornut, qui la té és home
A coro de justícia, boàs de senyor
A coronga, qui la porta és rei
A coroneta de monjo, vot de frare

A coratge de bestia, força de fera
A coratge de doncella, boca de gat
A coratge de home, ésser de home
A coratge de minyó, cabeça de nena
A coratge de pobre, no hi ha consell

A coratge de ric, no hi ha pobresa
A coratge de savi, remei de ximple
A coratge de vell, recança de mort
A coratge en neixer, talent de ser home
A coratge humil, honor de sant

A coratge jove, irreverent de vell
A coratge net, consciència clara
A coratge pobre, no hi ha misèria
A coratge ric, no hi ha pobresa
A coratge, tot s'apanya

Abc, qui la sap, no és ximple
Abellador, carregar les abellas
Abellanera, qui canta passa el temps
Abellaneria, donar fruits sense arrel
Abellaner home savi, abellaner dona sabia

Abellania, home de bona fe
Abellania, home de cabeça
Abelladó, qui canta no ha de pagar
Abelladol, qui riu té boca gran
Abellador, carregador de abellas

Abelladoria, carrega de abellas
Abella, qui fa obra madura
Abellada flor, abella farina
Abellador, qui carrega abellas
Abelladora, carregadora

REFRANYS POPULARS

A fill de gat, ratolí el porta
A fill de pagès, pagès el fa
A fills del seny, pares del ben obrar
A fills del vellard, herència de la culpa
A fills hereus, pare mort

A fills pròdigs, pare planyent
A fills que juguen lluïssos, pare que juga florós
A fills rics, pares empobrits
A fills sense mestre, pares sense seny
A fills si son bons, pares son vells gaudits

En total, els refranys catalans sumen més de mil entries en les col·leccions completes. Aquests són alguns dels més populars i tradicionals.

